,날짜,인천
117,2021-04-28,23
118,2021-04-29,28
119,2021-04-30,13
120,2021-05-01,10
121,2021-05-02,8
122,2021-05-03,18
123,2021-05-04,14
124,2021-05-05,12
125,2021-05-06,17
126,2021-05-07,74
127,2021-05-08,62
128,2021-05-09,9
129,2021-05-10,9
130,2021-05-11,9
131,2021-05-12,12
132,2021-05-13,31
133,2021-05-14,32
134,2021-05-15,29
135,2021-05-16,4
136,2021-05-17,7
137,2021-05-18,14
138,2021-05-19,26
139,2021-05-20,18
140,2021-05-21,8
141,2021-05-22,13
142,2021-05-23,24
143,2021-05-24,29
144,2021-05-25,25
145,2021-05-26,15
146,2021-05-27,19
147,2021-05-28,23
148,2021-05-29,11
149,2021-05-30,14
150,2021-05-31,18
151,2021-06-01,20
152,2021-06-02,30
153,2021-06-03,19
154,2021-06-04,12
155,2021-06-05,29
156,2021-06-06,34
157,2021-06-07,19
158,2021-06-08,25
159,2021-06-09,37
160,2021-06-10,41
161,2021-06-11,10
162,2021-06-12,16
163,2021-06-13,14
164,2021-06-14,18
165,2021-06-15,19
166,2021-06-16,5
167,2021-06-17,10
168,2021-06-18,10
169,2021-06-19,29
170,2021-06-20,40
171,2021-06-21,28
172,2021-06-22,25
173,2021-06-23,17
174,2021-06-24,26
175,2021-06-25,32
176,2021-06-26,19
177,2021-06-27,16
178,2021-06-28,19
179,2021-06-29,28
180,2021-06-30,30
181,2021-01-01,16
182,2021-01-02,11
183,2021-01-03,14
184,2021-01-04,22
185,2021-01-05,13
186,2021-01-06,13
187,2021-01-07,10
188,2021-01-08,10
189,2021-01-09,14
190,2021-01-10,19
191,2021-01-11,33
192,2021-01-12,37
193,2021-01-13,34
194,2021-01-14,25
195,2021-01-15,29
196,2021-01-16,31
197,2021-01-17,11
198,2021-01-18,16
199,2021-01-19,15
200,2021-01-20,24
201,2021-01-21,32
202,2021-01-22,24
203,2021-01-23,11
204,2021-01-24,10
205,2021-01-25,22
206,2021-01-26,30
207,2021-01-27,15
208,2021-01-28,16
209,2021-01-29,10
210,2021-01-30,24
211,2021-01-31,24
212,2021-02-01,31
213,2021-02-02,13
214,2021-02-03,18
215,2021-02-04,12
216,2021-02-05,15
217,2021-02-06,35
218,2021-02-07,39
219,2021-02-08,14
220,2021-02-09,14
221,2021-02-10,20
222,2021-02-11,47
223,2021-02-12,77
224,2021-02-13,66
225,2021-02-14,74
226,2021-02-15,26
227,2021-02-16,11
228,2021-02-17,10
229,2021-02-18,13
230,2021-02-19,21
231,2021-02-20,38
232,2021-02-21,39
233,2021-02-22,26
234,2021-02-23,15
235,2021-02-24,22
236,2021-02-25,34
237,2021-02-26,21
238,2021-02-27,11
239,2021-02-28,16
240,2021-03-01,13
241,2021-03-02,7
242,2021-03-03,25
243,2021-03-04,26
244,2021-03-05,26
245,2021-03-06,18
246,2021-03-07,13
247,2021-03-08,28
248,2021-03-09,27
249,2021-03-10,58
250,2021-03-11,80
251,2021-03-12,57
252,2021-03-13,35
253,2021-03-14,53
254,2021-03-15,54
255,2021-03-16,18
256,2021-03-17,19
257,2021-03-18,39
258,2021-03-19,34
259,2021-03-20,22
260,2021-03-21,30
261,2021-03-22,15
262,2021-03-23,27
263,2021-03-24,22
264,2021-03-25,22
265,2021-03-26,67
266,2021-03-27,38
267,2021-03-28,11
268,2021-03-29,67
269,2021-03-30,28
270,2021-03-31,25
271,2021-04-01,16
272,2021-04-02,15
273,2021-04-03,16
274,2021-04-04,6
275,2021-04-05,12
276,2021-04-06,23
277,2021-04-07,34
278,2021-04-08,15
279,2021-04-09,16
280,2021-04-10,16
281,2021-04-11,22
282,2021-04-12,19
283,2021-04-13,8
284,2021-04-14,12
285,2021-04-15,20
286,2021-04-16,24
287,2021-04-17,20
288,2021-04-18,12
289,2021-04-19,19
290,2021-04-20,25
291,2021-04-21,36
292,2021-04-22,37
293,2021-04-23,18
294,2021-04-24,11
295,2021-04-25,13
296,2021-04-26,12
297,2021-04-27,14
298,2021-04-28,23
299,2021-04-29,28
300,2021-04-30,13
301,2021-05-01,10
302,2021-05-02,8
303,2021-05-03,18
304,2021-05-04,14
305,2021-05-05,12
306,2021-05-06,17
307,2021-05-07,74
308,2021-05-08,62
309,2021-05-09,9
310,2021-05-10,9
311,2021-05-11,9
312,2021-05-12,12
313,2021-05-13,31
314,2021-05-14,32
315,2021-05-15,29
316,2021-05-16,4
317,2021-05-17,7
318,2021-05-18,14
319,2021-05-19,26
320,2021-05-20,18
321,2021-05-21,8
322,2021-05-22,13
323,2021-05-23,24
324,2021-05-24,29
325,2021-05-25,25
326,2021-05-26,15
327,2021-05-27,19
328,2021-05-28,23
329,2021-05-29,11
330,2021-05-30,14
331,2021-05-31,18
332,2021-06-01,20
333,2021-06-02,30
334,2021-06-03,19
335,2021-06-04,12
336,2021-06-05,29
337,2021-06-06,34
338,2021-06-07,19
339,2021-06-08,25
340,2021-06-09,37
341,2021-06-10,41
342,2021-06-11,10
343,2021-06-12,16
344,2021-06-13,14
345,2021-06-14,18
346,2021-06-15,19
347,2021-06-16,5
348,2021-06-17,10
349,2021-06-18,10
350,2021-06-19,29
351,2021-06-20,40
352,2021-06-21,28
353,2021-06-22,25
354,2021-06-23,17
355,2021-06-24,26
356,2021-06-25,32
357,2021-06-26,19
358,2021-06-27,16
359,2021-06-28,19
360,2021-06-29,28
361,2021-06-30,30
